work_id,title,rating,category,relationship,character,freeform
5007118,The Truth about Harry Potter,General Audiences,M/M,"Draco Malfoy/Harry Potter, various mentioned pairings with no actual appearance","Draco Malfoy, Harry Potter, Author - Character","Self-Insert, crack!fic, seriously pointless, fanfiction making fun of itself, proof of my insanity, Spoilers, Harry is Confused, Draco pretends to be confused, Fun with Tags, Sorry Not Sorry"
5006320,Harry Potter and the Noble Sacrifice,Teen And Up Audiences,,,"Harry Potter, Ron Weasley, Hermione Granger","Comic, Fan Comics, Humor"
4995850,Harry Potter and the Purple Dinosaur,Teen And Up Audiences,Gen,,"Draco Malfoy, Harry Potter, Barney the purple dinosaur, Severus Snape, Original Child Characters of little importance","comedy/satire, horror(ish), Potions Accident, Crossover, Crack"
5075734,Harry Potter and the Unusual Medical Treatment,Explicit,F/M,Harry Potter/Ginny Weasley,"Harry Potter, Ginny Weasley",
4929865,Water Contamination (or the time Harry Potter was accidentally a major douche),Teen And Up Audiences,M/M,Harry Potter/Draco Malfoy,"Harry Potter, Draco Malfoy, Hermione Granger, Pansy Parkinson, Ron Weasley","flangst, Misunderstandings"
4976515,and forget to live,General Audiences,M/M,Albus Dumbledore/Gellert Grindelwald,"Albus Dumbledore, Gellert Grindelwald, Ariana Dumbledore, Aberforth Dumbledore","alternate universe - imaginary, Angst, Dreams"
4908538,Everyone's Good At Something,Teen And Up Audiences,Gen,,"Gilderoy Lockhart, OC - Character","Memory Charms, Memory Alteration, Ambition, First Dates"
5042755,Lunatic Impressions in a Dungeon,Not Rated,Gen,,"Luna Lovegood, Garrick Ollivander, Severus Snape, Bellatrix Black Lestrange",
5085703,Dabberblimps,Mature,F/M,Luna Lovegood/Lucius Malfoy,"Lucius Malfoy, Luna Lovegood","Lucius Big Bang, Diary/Journal, Employer/Employee, Older Man/Younger Woman"
4956577,The Lucky One,General Audiences,F/M,Draco Malfoy/Hermione Granger,"Draco Malfoy, Hermione Granger","One-shot, Fluff"
4994023,Have a Cup of Coffee (or Maybe Not),General Audiences,M/M,Harry Potter/Tom Riddle,"Harry Potter, Tom Riddle","Alternate Universe - Non-Magical, Dialogue-Only"
5030722,The End,General Audiences,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy","Old Age, Fluff"
4880572,A Word in His Defense,Mature,M/M,Ronald Weasley/Draco Malfoy,"Ronald Weasley, Draco Malfoy",Homosexuality
5006515,You and I go hard at each other like we're going to war,Explicit,M/M,"Draco Malfoy/Harry Potter, Draco Malfoy/Original Male Character(s)","Draco Malfoy, Harry Potter, Kingsley Shacklebolt, Original Male Character(s)","Auror Harry Potter, protecting Draco, POV Harry, Draco Malfoy is a Tease, Jealous Harry, Possessive Harry, fair bit of, Dirty Talk, Light Bondage"
5066755,Sexual Healing,Explicit,M/M,Harry Potter/Severus Snape,"Harry Potter, Severus Snape",
5056036,Dinner with the Dragon,Teen And Up Audiences,"F/M, M/M","Draco Malfoy/Harry Potter, Astoria Greengrass/Draco Malfoy","Draco Malfoy, Astoria Greengrass, Harry Potter, Theodore Nott","Alternate Universe, Romance, Humor"
5058223,This Old Oak Tree,Teen And Up Audiences,F/M,Hermione Granger/Harry Potter,"Harry Potter, Hermione Granger","Friends to Lovers, Drabble Collection, sweet romance"
4919329,Lenceria,Explicit,M/M,Harry Potter / Severus Snape,"Severus Snape, Harry Potter","Homosexuality, age gap, Plot What Plot/Porn Without Plot, snarry"
5085778,Needless To Say,Teen And Up Audiences,F/M,Lucius Malfoy/Narcissa Black Malfoy,"Lucius Malfoy, Narcissa Black Malfoy","Lucius Big Bang, Virgin Lucius, Fluff"
4966549,From the First Moment,General Audiences,"F/M, Gen","Sirius Black & Harry Potter, James Potter/Lily Evans Potter, James Potter & Harry Potter","Harry Potter, Remus Lupin, James Potter, Lily Evans Potter, Sirius Black","Family, Godfather Sirius Black, Baby Harry, Pre-Hogwarts, Alternate Universe - Canon Divergence"
4946347,Harry with a Panther Earring [Fanart],General Audiences,Gen,,Harry Potter,"Fanart, Earring, Black&White, panther"
5050006,Eclipsed,General Audiences,F/M,Harry Potter/Tom Riddle,"Tom Riddle, Harry Potter","Alternate Universe, Alternate Universe - Gender Changes, female!Harry, Gray!Harry, Slytherin!Harry, Het, Time Travel"
4929040,Quite The Predicament,Teen And Up Audiences,F/F,Hermione Granger/Ginny Weasley,"Hermione Granger, Ginny Weasley, Ron Weasley, Harry Potter",Fluff
5007220,The Fanfic to End All Fanfics,Not Rated,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy, Author - Character, Author's Dog","Sequel, Self-Insert, Crack, seriously pointless, more Authoress insanity, ""My Immortal"" induced trauma"
4934176,Bank Holiday,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Lead up to smut, but no actual smut, Cute, early morning, Established Relationship"
4965496,You and Me,Teen And Up Audiences,"F/M, Gen","Sirius Black & Harry Potter, James Potter/Lily Evans Potter","Sirius Black, Harry Potter, James Potter, Lily Evans Potter","Baby Harry, Godfather Sirius Black, Family, Kid Fic, Pre-Hogwarts"
5107628,(10)1 Reason(s) Why People Are Happy,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Ron Weasley, Seamus Finnigan, Dean Thomas, Draco Malfoy, Hermione Granger, Ernie Macmillan, Harry Potter","Singing in the Shower, Whistling, happy people, Hogwarts Eighth Year, HP: EWE, Rated T for language, Fluff, No Angst"
5043361,"Imagination, lessons and reality",General Audiences,Gen,,,Meta
4949449,"The Deepest, Most Desperate Desire",General Audiences,Gen,Harry Potter/Ginny Weasley,"Harry Potter, Susan Bones, Euan Abercrombie, Cormac McLaggen, Ginny Weasley","Family, Friendship, Romance, Quidditch World Cup, Head Auror Harry Potter, Mirror of Erised"
4938511,Here Amongst the Ruins,Mature,M/M,Harry Potter & Draco Malfoy,"Harry Potter, Draco Malfoy",Post-War
4925182,Ring of Fire,Explicit,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Alternate Universe, Healer!Harry, Magical Tattoos, Magical Accidents, Medical Kink, Mildly Dubious Consent, Dubious Ethics, top!Harry Potter, bottom!Draco"
4815728,No Regrets,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Post-Battle of Hogwarts, Spinner's End, Lily Evans Potter & Severus Snape Friendship, HP: EWE, Severus Snape's Death, Cokeworth"
4918636,In Sickness and in Health,Explicit,M/M,"Harry Potter/Tom Riddle, Harry Potter/Voldemort, Harry Potter/Tom Riddle | Harry Potter/Voldemort, Hermione Granger/Severus Snape","Harry Potter, Tom Riddle | Voldemort, Hermione Granger, Severus Snape, Baby - Character","Anal Sex, Pregnancy, Not M-Preg, Pregnancy Brain, Emotional Sex, Morning Sickness, Cravings, Moody Voldemort, emotional harry, Titanic - Freeform, Fluff and Humor"
4807733,Carpe Diem,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy, Lucius Malfoy, Narcissa Black Malfoy","Depression, The Marauder's Map, Hogwarts Great Lake, Harry Thinks Malfoy Is Up To Something, Huddling For Warmth, HP: EWE, Post-Deathly Hallows, H/D Pottermore Fair 2015"
4994512,with you,Not Rated,Other,"Teddy Lupin/Harry Potter, Teddy Lupin & Harry Potter, Remus Lupin/Teddy Lupin, Remus Lupin/Nymphadora Tonks","Harry Potter, Nymphadora Tonks, Tonks, Teddy Lupin, Remus Lupin, Ghost Remus Lupin - Character","Sad, Emotional Hurt/Comfort, Emotional Hurt, Cute Teddy Lupin, Harry Potter Next Generation, Harry Potter References, Sad Harry Potter, Angst, Fluff and Angst, Ghosts, Dead People, Magic, Unforgivable Curses (Harry Potter), Universe Alteration, Birthday"
4917364,Machinations,Not Rated,"F/F, F/M, M/M",,"Harry Potter, Ron Weasley, Hermione Granger, Tom Riddle | Voldemort, Draco Malfoy, Lucius Malfoy, Narcissa Black Malfoy, Sirius Black, Remus Lupin, Merlin (Harry Potter), Morgana (Merlin), Peter Pettigrew",Time Travel
4865510,What a Tragic Little Hero I Am,General Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Millicent Bulstrode","Humor, Press and Tabloids, HP: EWE, Celebrity Draco Malfoy, Paparazzi, Helpful Harry Potter"
4993090,Whispered Conversations,General Audiences,F/M,"Harry Potter/Ron Weasley, Hermione Granger/Viktor Krum, Hermione Granger & Harry Potter","Harry Potter, Ron Weasley, Hermione Granger","Alternate Universe, Alternate Universe - Gender Changes, female!Harry, Het, Mild Bashing of Viktor Krum"
5047936,The Discovery of Passion,Explicit,M/M,"Harry Potter/Tom Riddle, Harry Potter & Tom Riddle","Tom Riddle, Harry Potter","Top Harry, Sub Tom Riddle, Spanking, Light Dom/sub, First Time, Cuddling & Snuggling, Anal Fingering, Anal Sex, Rimming"
5028397,Because He Wants To,Explicit,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Established Relationship, Post-Hogwarts, Dirty Talk, Praise Kink, Hand Jobs, Frottage, POV Harry Potter"
4922923,Things Work Out in the End,Teen And Up Audiences,M/M,"Draco Malfoy/Harry Potter, Draco Malfoy & Harry Potter","Pansy Parkinson, Draco Malfoy, Harry Potter","Dialogue-Only, Drarry, Crack"
4943851,Dead Men Don't Bleed Epilogue,General Audiences,"F/M, Gen","Sirius Black & Harry Potter, Harry Potter/Ginny Weasley, Hermione Granger/Ron Weasley","Sirius Black, Harry Potter, James Sirius Potter, Albus Severus Potter, Lily Luna Potter, Ginny Weasley, Hermione Granger, Ron Weasley, Remus Lupin, The Weasleys","Alternate Ending, Alternate Universe - Canon Divergence"
5012179,Waiting,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy","Angst, Azkaban, Post-Battle of Hogwarts, Established Relationship"
5104208,A Change in Plans,General Audiences,"F/M, Gen",James Potter/Lily Evans Potter,"Lily Evans Potter, James Potter, Sirius Black, Remus Lupin, Peter Pettigrew, Marauders (Harry Potter), Original Characters, Harry Potter Characters","Marauders' Era, Shenanigans, Pranks, Payback, Revenge, Plotting, jily, Secretly Awesome Lily, Awesome!Lily, Prankster!Lily, Padfoot - Freeform, Prongs - Freeform, Moony - Freeform, Wormtail - Freeform"
5051407,Neaten Up,General Audiences,M/M,Harry Potter/Tom Riddle,"Harry Potter, Tom Riddle","AU, Alternate Universe, tomarry - Freeform, Humour"
5104013,Confessions,General Audiences,"F/M, Gen, M/M","James Potter/Lily Evans Potter, Sirius Black/Remus Lupin","James Potter, Lily Evans Potter, Sirius Black, Remus Lupin, Peter Pettigrew, Severus Snape","The Marauders - Freeform, jily, Hinted at Wolfstar, Misunderstandings, Humor, Mentioned Petunia Dursley, Mentioned Vernon Dursley, Lily knows all"
5050258,Tricks and Treats,General Audiences,Gen,,"James Potter, Sirius Black, Remus Lupin, Peter Pettigrew","Fun, Humor, Pranks and Practical Jokes, Dessert & Sweets, Hogwarts, Marauders' Era, Marauders, Marauders Friendship, Extra Treat"
