work_id,title,rating,category,relationship,character,freeform
4918219,Her Niece and His Goddaughter,General Audiences,Gen,"Petunia Evans Dursley & Harry Potter, Sirius Black & Harry Potter","Harry Potter, Petunia Evans Dursley, Sirius Black, Orion the Dog","Alternate Universe, Alternate Universe - Gender Changes, female!Harry, nice!Petunia, mentions of abuse, Mentions of miscarriage, Mentions of Evil!Vernon"
5051089,Right Next To You,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy, Ron Weasley, Hermione Granger, Horace Slughorn","One-shot, Ficlet, Amortentia, Potions, eighth year, Post-War"
4998583,Spectres in the Fog,General Audiences,"Gen, M/M",Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy","Forbidden Forest, Dementors, Weather, Missing Scene, Angst"
4907359,A Bad Idea,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy",
4777469,No Shadow Taller Than Our Souls [Podfic],General Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Ron Weasley, Hermione Granger","Angst, HP: EWE, Dementors, Podfic, Podfic Length: 3.5-4 Hours, H/D Pottermore Fair 2015"
7888600,In the Middle,Explicit,Multi,"Harry Potter/Severus Snape, Hermione Granger/Severus Snape, Hermione Granger/Harry Potter/Severus Snape","Harry Potter, Severus Snape, Hermione Granger","Hurt/Comfort, Plot What Plot/Porn Without Plot, Established Relationship, Unusual Sexual Situation, Multiple Partners, Untold backstory"
4960447,The Grunnings Man,General Audiences,"F/M, Gen",Hermione Granger/Harry Potter,"Harry Potter, Hermione Granger, Vernon Dursley, Mrs Granger (Harry Potter), Mr. Granger",
4924027,Of Rain and Lemons,General Audiences,F/M,Luna Lovegood/Harry Potter,"Luna Lovegood, Harry Potter",
4939678,Bad Habit,General Audiences,F/M,Daphne Greengrass/Harry Potter,"Harry Potter, Daphne Greengrass",Older Characters
5032951,Scars,General Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Light Angst, Fluff"
5027530,Back Home,General Audiences,M/M,Harry Potter/Severus Snape,"Harry Potter, Severus Snape",Established Relationship
5104679,Balderdash,General Audiences,F/M,James Potter/Lily Evans Potter,"Lily Evans Potter, James Potter","Pregnancy, Cravings, Love, Fluff, Domestic Fluff, Romantic Fluff, Marriage, Loving Marriage, Married Life, Self-Esteem Issues, POV James Potter, Pregnant Lily Evans Potter, Domestic Bliss, Marauders Era (Harry Potter), Romance, POV Third Person"
5018197,Baby Wolf | Hope Lupin,General Audiences,F/M,Hope Lupin/Lyall Lupin,"Hope Lupin, Lyall Lupin, Remus Lupin, Fenrir Greyback","Toddler Remus, Ministry of Magic, 4 Year Old Remus, Who's that at the window, Remus & Lyall, Remus & Hope, Slight Screaming, Implied Violence, An angered hairy man, Sad, POV First Person"
5116931,(Never) Believe It's Not So,General Audiences,Gen,,"Hermione Granger, Harry Potter, Croaker (Harry Potter), Draco Malfoy, Ginny Weasley, Penelope Clearwater, Luna Lovegood, Molly Weasley, Sirius Black","Memory Loss, Memory Charms, Time Travel, Vampires, Useless Vampires, Veil of Death, Resurrection, Fred Lives, Unspeakable Hermione Granger, Awesome Hermione Granger, Paperwork, Department of Mysteries, Halloween"
4939942,What You've Given Me,General Audiences,Gen,Sirius Black & Harry Potter,"Sirius Black, Harry Potter, The Weasleys","Family, Angst, Emotional Hurt/Comfort, Book 5: Harry Potter and the Order of the Phoenix, Alternate Universe - Canon Divergence, Fix-It"
5082970,HeartStrong,General Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter",Just some Young Adult silliness
5055655,Petunia Visits the DVLA,Not Rated,Gen,Harry Potter/Ron Weasley,"Petunia Evans Dursley, Harry Potter, Ron Weasley",Homophobia
5077207,"oh lord, heaven knows (we belong way down below)",Mature,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Alternate Universe - Voldemort Wins, The Potters Die, Minor Character Death, Alternate Universe - Supernatural Elements, Demon Deals, Demon Harry, Dirty Talk"
4967176,Revelations,Teen And Up Audiences,Gen,,"Draco Malfoy, Tenebrus","Thestrals, Acceptance, Post-War"
5085631,Skip,Mature,F/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy","Anal, Sex, Explicit Sexual Content"
4924210,Alive Again,Teen And Up Audiences,F/M,Narcissa Black Malfoy/Harry Potter,"Narcissa Black Malfoy, Harry Potter","Older Woman/Younger Man, Older Harry"
4829483,One Night at the Leaky,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Ron Weasley, Hermione Granger, Ginny Weasley, Luna Lovegood, Seamus Finnigan, Gregory Goyle, Neville Longbottom","Drunkenness, Truth or Dare, tomfoolery, UST, Drinking Games, Post-Hogwarts, HP: EWE, Humor, H/D Pottermore Fair 2015, Leaky Cauldron, Flustered Harry Potter, Draco Malfoy Flirts, Smitten Harry Potter, Graphic Description of a Disgusting Drink, seriously it's disgusting"
5079979,The Weight of Feathers,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Blaise Zabini, Draco Malfoy, Harry Potter","Comic, Photo Comic, Best on a Large Screen (May be hard to read on mobile devices), Veela, Auror Harry Potter, Miniature Photography, Macro photography, Photography, Lego, miniatures, Art, Blaise POV"
4945153,Terrain of Cruelty,Mature,"F/M, Gen, M/M","Sirius Black & Harry Potter, Sirius Black/Remus Lupin, James Potter/Lily Evans Potter, Sirius Black & James Potter","Sirius Black, Harry Potter, Remus Lupin, James Potter, Lily Evans Potter, Peter Pettigrew, Albus Dumbledore, Poppy Pomfrey","Angst, Emotional Hurt/Comfort, Godfather Sirius Black, First War with Voldemort, Grief, Trauma Recovery, Nightmares, Death, Sexual Content"
4776677,Lucky at the Leaky,Explicit,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Hannah Abbott","Leaky Cauldron, Post-Hogwarts, Bartender Draco Malfoy, Sexual Content, Draco Malfoy Flirts, Past Harry Potter/Ginny Weasley, H/D Pottermore Fair 2015"
4907179,Tired of Hiding,Explicit,M/M,Harry Potter & Charlie Weasley,,"Shameless Smut, Hidden Relationship, Harry wants more, Weasley Family"
4933999,Normal Night Shift at the Leaky Cauldron,Not Rated,Multi,Hermione Granger/Harry Potter/Ron Weasley,"Hermione Granger, Ron Weasley, Harry Potter",Fanart
4939708,Wake Me Up Before You Come Come,Explicit,M/M,"Harry Potter/Ron Weasley, Harry Potter/Ginny Weasley, Dean Thomas/Ginny Weasley","Ron Weasley, Harry Potter, Ginny Weasley, Dean Thomas","Rating: NC17, Sexual Content, Oral Sex, Anal Sex, Humor, Aurors, Fluff, Language"
4940767,Cuts,General Audiences,M/M,Sirius Black/Remus Lupin,"Remus Lupin, Sirius Black, James Potter (mentioned)","Shoebox Project, Drabble, Drabble Day 2015, Marauders' Era, First War with Voldemort"
5060860,Before the Party,General Audiences,Gen,,"Harry Potter, Hermione Granger","Post-Deathly Hallows, Halloween"
4926565,Close and Closer,Teen And Up Audiences,M/M,Harry Potter/Severus Snape,"Severus Snape, Harry Potter","Drabble, Slash, Romance, Humor, Community: fandom_aid"
5004910,Thicker than Blood,Teen And Up Audiences,"F/M, Gen","Sirius Black & Harry Potter, Harry Potter/Ginny Weasley, Remus Lupin/Nymphadora Tonks","Sirius Black, Harry Potter, Ginny Weasley, The Weasleys, Remus Lupin, Nymphadora Tonks, Teddy Lupin","Angst, Godfather Sirius Black, Family, Emotional Hurt/Comfort, Alternate Universe - Canon Divergence, 1996, Christmas, Voldemort is Dead and Gone"
4945711,A Whiter Shade Of Pale,General Audiences,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy","Ratings: G, Community: dracoharry100, Romance, Fluff and Angst"
5048527,Forever,General Audiences,"F/M, Gen","Harry Potter/Ginny Weasley, Fleur Delacour/Bill Weasley","Harry Potter, Ginny Weasley, Fleur Delacour, Bill Weasley, Lily Luna Potter, Louis Weasley",
5001379,The Avenging Fiend.,Not Rated,M/M,Harry Potter/Severus Snape,"Harry Potter, Severus Snape","Drabble, Complete, Pre-Slash, Angst, Romance"
4951816,a brose by any other name,General Audiences,Gen,James Potter/Lily Evans Potter,"James Potter, Lily Evans Potter, Harry Potter, Sarah Potter, Anne Potter, Drew Potter, Mattie Potter, Sirius Black, Remus Lupin","baby naming, Fluff"
17934851,"the sky, a'tumbling down",Teen And Up Audiences,"Multi, Other",Hermione Granger/Harry Potter/Ron Weasley,"Ron Weasley, Hermione Granger, Harry Potter","POV Ron Weasley, Ron through the years, Character Study, The Golden Trio"
4967947,Her Private Symphony,Teen And Up Audiences,"F/M, Gen",,"Hermione Granger, Harry Potter, Ginny Weasley","Music, Post-Deathly Hallows, Depression, Love, Minor Harry Potter/Ginny Weasley, Community: hp_silencio, No Dialogue"
5090465,Positively Passionate.,Not Rated,M/M,Harry Potter/Severus Snape,"Harry Potter, Severus Snape","Drabble, Complete, Pre-Slash, Humor, Romance"
4978693,A Different Date,Mature,F/M,Parvati Patil/Harry Potter,"Harry Potter, Parvati Patil",HP Diversity Prompts of Color
4935379,So Many Shards of Crystal,Explicit,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Astoria Greengrass","Angst, Post-Hogwarts, Consensual Infidelity, Anal Sex, HP: EWE, Auror Partners, Friends With Benefits"
5023786,"A Helping Hand, or Four",Explicit,"F/M, Multi",Hermione Granger/Harry Potter/Ginny Weasley,"Harry Potter, Ginny Weasley, Hermione Granger",Threesome - F/F/M
4977730,Playing the Hero,Explicit,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy, Ron Weasley, Hermione Granger","bottom!Draco, Top!Harry, Anal Sex, Anal Fingering, Kissing, Fluff and Angst, Happy Ending"
5117555,Nightmares,Not Rated,F/M,Harry Potter/Ginny Weasley,"Harry Potter, Ginny Weasley","Post-Canon, Post-Traumatic Stress Disorder - PTSD"
4752572,Friends and More,Explicit,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Voyeurism, Community: hd_remix, Auror Partners, Masturbation, handjobs"
5050003,A Battle of Seekers,Explicit,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Quidditch, Rivals, Competition, Rough Sex, Shameless Smut"
5066737,Death By....,Teen And Up Audiences,Gen,,"Severus Snape, Remus Lupin, Albus Dumbledore, Voldemort, Sirius Black, James Potter","Humor, Crack"
5060086,Pure Intentions.,Not Rated,M/M,Harry Potter/Severus Snape,"Harry Potter, Severus Snape","Drabble, Complete, Pre-Slash, Romance, First Dates"
4940047,A Fortiori,Explicit,M/M,Lucius Malfoy/Harry Potter,"Harry Potter, Lucius Malfoy, Draco Malfoy, Narcissa Black Malfoy, Hermione Granger","Sexual Content, Murder"
4985017,Mind The Gap,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy","Alternate Universe - Muggle, Meet-Cute, Fluff"
4944334,Self-Medicating,Mature,Gen,,"Sirius Black, Lily Evans","Implied/Referenced Alcohol Abuse/Alcoholism, Amortentia, Friendship, Emotional Hurt/Comfort"
4912564,The Half Blood Prince and the Puffapod,General Audiences,F/M,,"Severus Snape, Original Female Character(s), OC - Character, Horace Slughorn, Lily Evans Potter, James Potter","Hogwarts, Alternate Universe - Hogwarts, student, teacher, Fluff, relationships, Wizarding World, Potions, Herbology, Slug Club, Dungeon, Classroom"
5103935,Just Be,General Audiences,"Gen, M/M",Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Teddy Lupin",genderfluid!Teddy
5108333,The Thinning of the Veil,General Audiences,M/M,Harry Potter/Severus Snape,"Severus Snape, Harry Potter","Light Angst, Drabble, Pre-Slash, Slash, Community: fandom_aid, Getting Together"
5095094,Tangled Up,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy","Alternate Universe - Muggle, Meet-Cute, No Smut, Fluff"
4953283,Naming,General Audiences,Gen,"Harry Potter/Ginny Weasley, Remus Lupin/Nymphadora Tonks","Ginny Weasley, Nymphadora Tonks",Deathly Hallows missing moment
5074096,A Bully And A Troublemaker,General Audiences,F/M,James Potter/Lily Evans Potter,"Lily Evans Potter, James Potter","Romance, Marauders' Era, Oneshot, Canon Compliant"
4828082,Through the Flames We Run,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Hermione Granger, Seamus Finnigan, Kingsley Shacklebolt, Gawain Robards, Original Female Character(s)","Romance, Floo Network, Pining Draco, Post-Hogwarts, Auror Draco Malfoy, Floo Network Malfunction, H/D Pottermore Fair 2015, unusual careers, HP: EWE"
5110907,For Your Pleasure,Mature,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","bottom!Draco, Sub!Draco, kitty!Draco, blowjob, Anal Fingering, Toys, PWP"
4917307,Accord de le Destin,General Audiences,Gen,,"Harry Potter, Dolores Umbridge, Susan Bones","Alternate Universe, Alternate Universe - Gender Changes, female!Harry, Off-screen Character Death, Dead Body, Deal With Fate"
4974925,Strangeness and Charm,Explicit,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, The Forbidden Forest - Character","8th year, POV Third Person Omniscient"
5014864,"More Like Keeping, Than Owning",General Audiences,"Gen, M/M",Harry Potter/Draco Malfoy,"Harry Potter, Draco Malfoy, Blaise Zabini, Pansy Parkinson","Puppy Play, pup!Harry, Owner!Draco, Ageplay, little!Harry, Daddy!Draco, Alive!Sirius, ALIVE!Remus, Post-Hogwarts, 24/7 pup-little!Harry, 24/7 Daddy-owner!Draco, BDSM, D/s, People know Harry is a pup-little, Collars, dom!draco, sub!Harry, Blaise has a laptop and he's probs photoshopping Draco into dresses or smt, Pansy just eats all their food, good times are had, Fluff, Couch Cuddles, Shy Harry"
5081194,Matchmakers,General Audiences,F/M,Hermione Granger/Harry Potter,"Ron Weasley, Harry Potter, Hermione Granger","Het, Romance, Getting Together, Matchmaking, Pre-Relationship, Ficlet, Community: fandom_aid"
5027881,Florean Fortescue's Ice Cream,General Audiences,Gen,,"Harry Potter, Draco Malfoy",
5055991,Severus and the Blast,Mature,M/M,Remus Lupin/Severus Snape,"Remus Lupin, Severus Snape, Harry Potter","Community: fandom_stocking, No HBP, No DH, Alternate Universe, HP: EWE, Romance, Non-explicit Shower Sex, 2011"
4931665,Call me Boring,Mature,M/M,Draco Malfoy/Harry Potter,,Smut
4929925,Lupin House,Teen And Up Audiences,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy, Neville Longbottom, Hermione Granger, Ron Weasley, Ginny Weasley, Luna Lovegood",
5103983,To Ask On a Date,Explicit,M/M,Draco Malfoy/Harry Potter,,
5055997,Severus and the Blast,Mature,M/M,Remus Lupin/Severus Snape,"Remus Lupin, Severus Snape, Harry Potter","Community: fandom_stocking, No HBP, No DH, Alternate Universe, HP: EWE, Romance, Non-explicit Shower Sex, 2011"
4914421,"He Knew They'd Be Forever, Whenever She Laughed",Not Rated,F/M,"James Potter/Lily Evans, Jily - Relationship","James Potter, Lily Evans, Remus Lupin",
44022420,"Lily, One of a Kind",General Audiences,Gen,,Lily Luna Potter,"Harry Potter Next Generation, Hogwarts, Teen Sitcom Shenanigans"
5104001,To Give,General Audiences,M/M,Draco Malfoy/Harry Potter,,
5084119,Tamasha,General Audiences,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Just some adolescent silliness, Hogwarts Eighth Year, Some Dirty Language, Draco has a penchant for cute nicknames"
4953406,Rochliffe Abbey,General Audiences,Gen,"Harry Potter/Ginny Weasley, Remus Lupin/Nymphadora Tonks","Ginny Weasley, Remus Lupin","Deathly Hallows missing moment, internal religious conflict"
5019733,The Last DJ,General Audiences,F/M,Angelina Johnson/Lee Jordan,"Angelina Johnson, Lee Jordan",Book 5: Harry Potter and the Order of the Phoenix
4913338,Enjoy the Show,Mature,M/M,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","wanking, Basically PWP, Blow Jobs, Exhibitionism, Vouyerism"
4940962,War,Teen And Up Audiences,M/M,"Sirius Black/Remus Lupin, Sirius Black & James Potter","Sirius Black, James Potter, Remus Lupin (Mentioned)","Shoebox Project, Marauders' Era, First War with Voldemort, Drabble, Drabble Day 2015, POV Sirius"
4964830,It Happened in Silence,Explicit,M/M,Harry Potter/Severus Snape,"Severus Snape, Harry Potter","BDSM, Biting, Spanking, Face-Fucking, Rough Sex, Fantasy Fulfillment, Rope Bondage, Aftercare, No Dialogue, Wandless Magic, Wordless Magic, Consensual, Anal Sex, Anal Fingering"
