Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,work_id
0.0333337564578294,0.03333371819716878,0.8666651264694596,0.03333377922636335,0.03333361964917885,76158526
0.025000545595793146,0.025006126777952116,0.8999632021025156,0.025029783765139976,0.02500034175859925,76147721
0.02913456559068722,0.02881604790443172,0.4558542345606661,0.456566326188343,0.02962882575587199,75292571
0.011768389837002888,0.01176841116788425,0.9529263280399825,0.011771554243555122,0.011765316711575477,74128081
0.9414743115104477,0.014377283503043084,0.015034343511980878,0.014466000468687712,0.014648061005840816,73599016
0.0668772354659525,0.7331195283104626,0.06666721909998322,0.06666832427150826,0.06666769285209342,73513201
0.0668772354659525,0.7331195283104626,0.06666721909998322,0.06666832427150826,0.06666769285209342,73512871
0.0668772354659525,0.7331195283104626,0.06666721909998322,0.06666832427150826,0.06666769285209342,73511111
0.0668772354659525,0.7331195283104626,0.06666721909998322,0.06666832427150826,0.06666769285209342,73510111
0.0668772354659525,0.7331195283104626,0.06666721909998322,0.06666832427150826,0.06666769285209342,73509761
0.05000256941533132,0.7997636103531773,0.0500369251274194,0.050002807044781716,0.05019408805929023,73483876
0.01252278115657822,0.3529110856272156,0.6088560552775338,0.012788586234953736,0.012921491703718412,73474956
0.2107317403321139,0.014304051182084268,0.7462399951282962,0.014360111480732763,0.014364101876772893,73474871
0.025246653919750176,0.02519329459866532,0.025208403731997904,0.025625160462316256,0.8987264872872703,73470161
0.02241780509745729,0.022456323848745498,0.022619123872231788,0.022429239394876045,0.9100775077866895,73469221
0.06878425503970265,0.0670036322912924,0.7296875781574725,0.06678309555324405,0.06774143895828844,73467996
0.02899274823666229,0.24908104431504455,0.02869020873678282,0.028927935868145953,0.6643080628433644,73467906
0.7969068709251228,0.05138685482060186,0.050620655254076684,0.05040325757897585,0.0506823614212229,73467896
0.04003917130454858,0.8392762752529667,0.04006379264856811,0.04000280384358795,0.04061795695032876,73467861
0.018293133412508447,0.01906865342109785,0.01835443125332495,0.018425217435698103,0.9258585644773707,73467631
0.8649812315197435,0.03371089513798925,0.03352994077149036,0.03392004915897783,0.033857883411799135,73467091
0.025338138624295906,0.8991569883515598,0.025094811779885116,0.02511584182483297,0.025294219419426316,73467046
0.4013986722119472,0.01896405671537587,0.5428134900449483,0.018278510958035045,0.018545270069693445,73467011
0.010049764171074829,0.010022806900318629,0.9598845332640399,0.010016474997431796,0.01002642066713497,73466901
0.9417837728256033,0.014456135278062646,0.014405749490459717,0.0144667974965607,0.014887544909313565,73465916
0.7969961883442681,0.050129583505131914,0.05000174881437084,0.05039376252286571,0.05247871681336349,73464751
0.02888644778708405,0.48631803343068153,0.4273631351097647,0.028658458629877613,0.028773925042592078,73464376
0.04274944538541639,0.040936099988295116,0.04041995169887634,0.8349485337944951,0.04094596913291708,73464336
0.9611770313945015,0.009717303712986508,0.009589036085786708,0.009574967901717614,0.009941660905007609,73464301
0.013357384698634872,0.013368991644772685,0.013350778244465704,0.013337416552679069,0.9465854288594477,73463661
0.014452616357197474,0.014420769353488452,0.3640666454710028,0.014657262403958215,0.592402706414353,73462501
0.004201463030500815,0.9073573038935029,0.004196001558105879,0.07993545696649947,0.004309774551391073,73460356
0.0680579805576139,0.06810778251471813,0.06687873445164691,0.0672714448966135,0.7296840575794075,73460221
0.9100487253455958,0.022724084036727286,0.022466957436356662,0.022352553979754684,0.022407679201565476,73459006
0.10000350619280433,0.599407854507339,0.10058249846033519,0.10000380101705397,0.10000233982246742,73458451
0.013409343520862536,0.01333909932603518,0.9463787719338985,0.013372486735695188,0.013500298483508548,73458386
0.02871506702218926,0.8844253897536906,0.028643320790357172,0.028687879291443185,0.029528343142319807,73458041
0.05020598657894507,0.05045755325805504,0.05010647198118535,0.30132298796530715,0.5479070002165074,73457051
0.028905225979571413,0.8831513801711849,0.0289525579476739,0.029400761766669597,0.029590074134900207,73454846
0.0400077150437506,0.0402723180054509,0.04000278607588983,0.04019084253946755,0.8395263383354411,73453091
0.05428113490898306,0.05137880194380523,0.790934117549205,0.05058548068021821,0.05282046491778841,73452801
