Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,work_id
0.012519800087644773,0.012512546442032394,0.01251883683931755,0.012511360964882317,0.012511619442911352,0.012515757914880278,0.9123959424989283,0.01251413580940317,65610619
0.012519800087644773,0.012512546442032394,0.01251883683931755,0.012511360964882317,0.012511619442911352,0.012515757914880278,0.9123959424989283,0.01251413580940317,65610619
0.1611741906669725,0.027134236854022976,0.48540872310292943,0.10330379329527668,0.0002390414583495877,0.1439286712283127,0.028256867397109437,0.050554475997026636,58898008
0.06253180493458946,0.06250000525986366,0.0625000034489002,0.06250001036521285,0.0625000043303625,0.5624681527118058,0.06250001133721987,0.06250000761204552,55072294
0.06253180493458946,0.06250000525986366,0.0625000034489002,0.06250001036521285,0.0625000043303625,0.5624681527118058,0.06250001133721987,0.06250000761204552,55071994
0.06253180493458946,0.06250000525986366,0.0625000034489002,0.06250001036521285,0.0625000043303625,0.5624681527118058,0.06250001133721987,0.06250000761204552,55069522
0.06253180493458946,0.06250000525986366,0.0625000034489002,0.06250001036521285,0.0625000043303625,0.5624681527118058,0.06250001133721987,0.06250000761204552,55069138
0.002408632950760302,0.0024068179129007375,0.16034326305711247,0.0024069275894815388,0.7161230981063857,0.002407490568509424,0.07850109786425127,0.03540267195059841,51355108
0.0016246704582723746,0.0016253927755894972,0.00162466758683125,0.0016250010724896357,0.0016267079043888579,0.0016249503539069005,0.9886233336043633,0.0016252762441581478,51321706
0.0016246704582723746,0.0016253927755894972,0.00162466758683125,0.0016250010724896357,0.0016267079043888579,0.0016249503539069005,0.9886233336043633,0.0016252762441581478,51321706
0.9917363905499019,0.001180453887937648,0.0011801434974702087,0.0011802730604294118,0.0011803919781604307,0.0011811445108621714,0.001180814157136171,0.0011803883581020709,51321619
0.9917363905499019,0.001180453887937648,0.0011801434974702087,0.0011802730604294118,0.0011803919781604307,0.0011811445108621714,0.001180814157136171,0.0011803883581020709,51321619
0.0011384015502081252,0.3387205692381173,0.0011384485243613593,0.0011384029980894828,0.6544482579432739,0.001138375694827133,0.001138392732624911,0.0011391513184978344,51321442
0.0011484526604151528,0.0011480153993736718,0.0011480001064318312,0.0011478740044756773,0.0011481417435843483,0.9919625006501869,0.0011484166841998946,0.001148598751332569,51321367
0.0011484526604151528,0.0011480153993736718,0.0011480001064318312,0.0011478740044756773,0.0011481417435843483,0.9919625006501869,0.0011484166841998946,0.001148598751332569,51321367
0.0012515886823582449,0.0012518023608761762,0.0012514445425599189,0.0012519555994248374,0.001252193582063531,0.0012518574817652454,0.0012515457039681997,0.9912376120469838,51321184
0.0012515886823582449,0.0012518023608761762,0.0012514445425599189,0.0012519555994248374,0.001252193582063531,0.0012518574817652454,0.0012515457039681997,0.9912376120469838,51321184
0.001840522424311035,0.0018416148733193195,0.0018411360551211001,0.0018410646955049194,0.0018412209639409923,0.9871134404559778,0.001840328828263978,0.0018406717035609375,51321061
0.001840522424311035,0.0018416148733193195,0.0018411360551211001,0.0018410646955049194,0.0018412209639409923,0.9871134404559778,0.001840328828263978,0.0018406717035609375,51321061
0.0048144281789038856,0.004812400208156766,0.4223586208752694,0.004812069350989139,0.3587537831599972,0.19481980164233959,0.0048112548656517205,0.004817641718692519,51320926
0.0012646385813953303,0.1225207729631046,0.001264745412912652,0.001264783954250747,0.5773542336629834,0.001264579161530533,0.15424405612257766,0.14082219014124506,51320185
0.23274126979554471,0.3639152515288212,0.23993207978581796,0.0011178610744139999,0.0011178623441754749,0.0011180694489986113,0.08313825160976748,0.07691935441246071,51296074
0.2196762142471043,0.07268664922853728,0.3005806206454103,0.0005110213151706211,0.24235356211116113,0.0966433739292818,0.06703740135489819,0.0005111571684364912,51270250
0.09312893505969752,0.14633075749495109,0.30750258641079986,0.06649324558719691,0.3098711531573905,0.00028340300300113477,0.07610667696998501,0.00028324231697788265,51270166
0.0005512066235674381,0.0005513281481919405,0.0005512885370935395,0.9961411787660246,0.0005513321071098748,0.0005512603376249584,0.0005512101552716609,0.0005511953251160375,51269617
0.0005512066235674381,0.0005513281481919405,0.0005512885370935395,0.9961411787660246,0.0005513321071098748,0.0005512603376249584,0.0005512101552716609,0.0005511953251160375,51269617
